feature,importance
Bwd_Packet_Length_Std,0.045081139421061706
Packet_Length_Variance,0.03478358627808623
Fwd_IAT_Mean,0.03471718780649933
Packet_Length_Std,0.03140369780913358
Avg_Bwd_Segment_Size,0.026394822745861142
Bwd_Packet_Length_Mean,0.02235188899581174
Fwd_IAT_Std,0.019992324790904896
Init_Win_bytes_backward,0.019166876092404743
Fwd_IAT_Total,0.018494171438445617
Fwd_IAT_Max,0.018376211830065447
Average_Packet_Size,0.017451817897954632
Fwd_Header_Length.1,0.01691010729502864
Fwd_Header_Length,0.015441678717930889
Fwd_Packet_Length_Max,0.01524075024573448
Avg_Fwd_Segment_Size,0.013438059743566873
Packet_Length_Mean,0.012330454159065852
Max_Packet_Length,0.011960044488441854
Total_Fwd_Packets,0.011489156803169453
Init_Win_bytes_forward,0.010546143960918651
Fwd_IAT_Min,0.00939750412224522
Total_Length_of_Fwd_Packets,0.008831069143366009
Subflow_Fwd_Packets,0.008802208691203661
Bwd_Packet_Length_Max,0.008796884914318018
Min_Packet_Length,0.008240306461154043
Subflow_Fwd_Bytes,0.0071370834676499646
Fwd_Packet_Length_Mean,0.006419936842971738
Total_Length_of_Bwd_Packets,0.006414582418389921
Bwd_Packet_Length_Min,0.006389275136832148
Flow_IAT_Std,0.005889595735038613
Subflow_Bwd_Bytes,0.005781279950089073
Flow_IAT_Max,0.0056005610260384305
Bwd_Header_Length,0.00547335334005
Flow_Packets_per_s,0.004700940197217585
min_seg_size_forward,0.004672695312750523
Flow_Duration,0.004572516439215885
Fwd_Packet_Length_Std,0.004266167283131474
Fwd_Packet_Length_Min,0.004226193316519262
PSH_Flag_Count,0.004003723112056875
Total_Backward_Packets,0.003609692368876886
Active_Min,0.0035992084344852863
Bwd_Packets_per_s,0.0034571818075088234
Flow_IAT_Mean,0.003282077237172779
act_data_pkt_fwd,0.003248759888438183
Flow_IAT_Min,0.0031042065507582814
Fwd_Packets_per_s,0.002941792685401541
Idle_Mean,0.0029286728057603337
Subflow_Bwd_Packets,0.002565025375055303
Bwd_IAT_Std,0.0024765606043021947
Bwd_IAT_Max,0.0024156716986725025
Bwd_IAT_Total,0.002383570778292565
Active_Mean,0.0023600927346161967
Bwd_IAT_Mean,0.002349406148835178
Idle_Max,0.0021946955948422293
Flow_Bytes_per_s,0.002159836309388363
Idle_Min,0.0018513846781382326
ACK_Flag_Count,0.0017849806784852077
Bwd_IAT_Min,0.0016774856231280475
Active_Max,0.0016048377891061906
FIN_Flag_Count,0.0010650286557645052
Down_per_Up_Ratio,0.0009303829393482214
Active_Std,0.0009227756093924296
Fwd_PSH_Flags,0.0007193080457607677
URG_Flag_Count,0.0005510879901127756
SYN_Flag_Count,0.00047026048028305336
Idle_Std,0.00016182846566347814
Fwd_URG_Flags,0.0
CWE_Flag_Count,0.0
RST_Flag_Count,0.0
ECE_Flag_Count,0.0
